GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Tenure : Total\ Tenure - Unit : Persons,Tenure : Total\ Tenure - Unit : Households,Tenure : Owned - Unit : Persons,Tenure : Owned - Unit : Households,Total Owned outright per Person,Total Owned outright per Households,Tenure : Owned\ Owned with a mortgage or loan - Unit : Persons,Tenure : Owned\ Owned with a mortgage or loan - Unit : Households,Tenure : Owner occupied - Unit : Households,Tenure : Owner occupied\ Owned outright - Unit : Households,Tenure : Owner occupied\ Owned with a mortgage or loan - Unit : Households,Shared ownership (part owned and part rented) per Person,Shared ownership (part owned and part rented) per Households,Tenure : Social rented - Unit : Persons,Total Social rented per Households,Tenure : Social rented\ Rented from council (Local Authority) - Unit : Persons,Tenure : Social rented\ Rented from council (Local Authority) - Unit : Households,Tenure : Social rented\ Rented from Northern Ireland Housing Executive (NIHE) - Unit : Households,Tenure : Social rented\ Housing association or charitable trust - Unit : Households,Tenure : Social rented\ Other social rented - Unit : Persons,Tenure : Social rented\ Other social rented - Unit : Households,Tenure : Social rented\ Other social rented (including accommodation that is rented from a registered social landlord; housing association; housing co-operative or charitable trust) - Unit : Households,Tenure : Social rented\ Other - Unit : Households,Tenure : Rented\ Rented from council (Local Authority) - Unit : Households,Tenure : Rented\ Other social rented - Unit : Households,Tenure : Rented\ Private landlord or letting agency - Unit : Households,Tenure : Rented from Northern Ireland Housing Executive (NIHE) - Unit : Households,Tenure : Rented from housing association or charitable trust - Unit : Households,Tenure : Rented from other (including rented from an employer of a household member or relative or friend of a household member) - Unit : Households,Tenure : Rented from private landlord or letting agency - Unit : Households,Total Private rented per Persons,Total Private rented per Households,Tenure : Private rented\ Private landlord or letting agency - Unit : Persons,Tenure : Private rented\ Private landlord or letting agency - Unit : Households,Tenure : Private rented\ Employer of a household member - Unit : Persons,Tenure : Private rented\ Employer of a household member - Unit : Households,Tenure : Private rented\ Relative or friend of household member - Unit : Persons,Tenure : Private rented\ Relative or friend of household member - Unit : Households,Tenure : Private rented\ Other - Unit : Persons,Tenure : Private rented\ Other - Unit : Households,Tenure : Private rented\ Other than private landlord or letting agency - Unit : Households,Total Living rent-free per Persons,Living rent-free per Households
K02000001,United Kingdom,Countries and Groupings,CTRY,62055838,26442096,40505764,,15919876,8093442,24555519,8691561,,,,409360,192648,10371983,,5690110,,2601715,,4681873,,2198050,,,,,,,,,10116104,,9235127,3925141,172185,,541875,,166917,,375945,682996,363594
K03000001,Great Britain,Countries and Groupings,CTRY,60267499,25738821,39220651,,15409561,7867597,23790742,8446899,,,,399339,188404,10152271,,5519229,,2520825,,4633042,,2174055,,,,,,,,,9863595,,9007024,3829926,168483,,525327,,162761,,365144,651991,345971
K04000001,England and Wales,Countries and Groupings,CTRY,55071113,23366044,35813691,14853678,14156368,7206954,21657323,7646724,,,,378991,178236,9036726,4118461,4911077,2208080,2208080,,4125649,1910381,1910381,1910381,,,,,,,,9244758,3900178,8453786,3566467,157060,57099,481428,214150,152484,62462,333711,596947,315491
E92000001,England,Countries and Groupings,CTRY,52059931,22063368,33740906,13975024,13260548,6745584,20480358,7229440,,,,369442,173760,8570417,3903550,4628071,2079778,2079778,,3942346,1823772,1823772,1823772,,,,,,,,8818651,3715924,8071527,3401675,152287,55211,448845,199428,145992,59610,314249,560515,295110
N92000002,Northern Ireland,Countries and Groupings,CTRY,1788339,703275,1285113,,510315,225845,764777,244662,474751,225845,244662,10021,4244,219712,104885,170881,80890,80890,23995,48831,,23995,23995,,,,80890,23995,10801,95215,252509,106016,228103,95215,3702,1216,16548,7784,4156,1801,10801,31005,17623
S92000003,Scotland,Countries and Groupings,CTRY,5196386,2372777,3406960,1470986,1253193,660643,2133419,800175,,,,20348,10168,1115545,576419,608152,312745,312745,,507393,263674,263674,263674,312745,263674,263459,,,,,618837,294892,553238,263459,11423,4181,43899,22670,10277,31433,31433,55044,30480
W92000004,Wales,Countries and Groupings,CTRY,3011182,1302676,2072785,878654,895820,461370,1176965,417284,,,,9549,4476,466309,214911,283006,128302,128302,,183303,86609,86609,86609,,,,,,,,426107,184254,382259,164792,4773,1888,32583,14722,6492,2852,19462,36432,20381
E12000001,North East,Regions,RGN,2550818,1129935,1647519,698595,617458,323084,1030061,375511,,,,8207,4098,520106,259506,349032,167593,167593,,171074,91913,91913,91913,,,,,,,,351117,154426,318764,139624,3248,1320,23368,11039,5737,2443,14802,23869,13310
E12000002,North West,Regions,RGN,6927820,3009549,4671253,1941564,1833329,934101,2837924,1007463,,,,30888,15787,1129256,550481,493348,231730,231730,,635908,318751,318751,318751,,,,,,,,1026012,462899,943071,424667,7577,3127,62314,28622,13050,6483,38232,70411,38818
E12000003,Yorkshire and The Humber,Regions,RGN,5185677,2224059,3458411,1425563,1357743,681492,2100668,744071,,,,19539,9637,833458,402653,573607,272875,272875,,259851,129778,129778,129778,,,,,,,,814082,353448,737346,321142,12426,4438,48822,21957,15488,5911,32306,60187,32758
E12000004,East Midlands,Regions,RGN,4442192,1895604,3058799,1274665,1215679,621224,1843120,653441,,,,26047,12744,645878,300423,418506,192049,192049,,227372,108374,108374,108374,,,,,,,,666285,282443,607586,257017,10747,4022,38794,17446,9158,3958,25426,45183,25329
E12000005,West Midlands,Regions,RGN,5509535,2294909,3687523,1489094,1502532,740899,2184991,748195,,,,32680,15230,957483,435170,559931,249835,249835,,397552,185335,185335,185335,,,,,,,,767361,321670,702215,293988,10356,3952,43078,18648,11712,5082,27682,64488,33745
E12000006,East of England,Regions,RGN,5748605,2423035,3963368,1637861,1552307,797019,2411061,840842,,,,38829,17760,850784,380331,423832,188886,188886,,426952,191445,191445,191445,,,,,,,,837507,356227,757911,322938,20756,7476,43251,19532,15589,6281,33289,58117,30856
E12000007,London,Regions,RGN,8073700,3266173,3939795,1576207,1437803,689898,2501992,886309,,,,88700,42108,1862381,785993,1050817,439727,439727,,811564,346266,346266,346266,,,,,,,,2089459,819085,1983957,775591,14028,5410,66713,27937,24761,10147,43494,93365,42780
E12000008,South East,Regions,RGN,8446500,3555463,5787815,2404517,2230360,1156081,3557455,1248436,,,,86293,39280,1104161,487473,467019,206431,206431,,637142,281042,281042,281042,,,,,,,,1381425,578592,1238368,521479,44277,15552,68564,30041,30216,11520,57113,86806,45601
E12000009,South West,Regions,RGN,5175084,2264641,3526423,1526958,1513337,801786,2013086,725172,,,,38259,17116,666910,301520,291979,130652,130652,,374931,170868,170868,170868,,,,,,,,885403,387134,782309,345229,28872,9914,53941,24206,20281,7785,41905,58089,31913
E10000002,Buckinghamshire,Counties,CNTY,497299,200727,366389,144852,141039,68784,225350,76068,,,,4509,1946,58311,25471,20715,9043,9043,,37596,16428,16428,16428,,,,,,,,63046,25875,54800,22688,3263,1156,2992,1293,1991,738,3187,5044,2583
E10000003,Cambridgeshire,Counties,CNTY,598066,251241,403321,165853,159101,80204,244220,85649,,,,6474,3003,85610,38506,34518,15736,15736,,51092,22770,22770,22770,,,,,,,,95383,40119,85262,35965,3012,1109,4604,2024,2505,1021,4154,7278,3760
E10000006,Cumbria,Counties,CNTY,490939,222042,359547,157050,167306,87019,192241,70031,,,,2122,1106,63275,31778,21960,10761,10761,,41315,21017,21017,21017,,,,,,,,59440,28481,52417,25183,1300,551,4783,2305,940,442,3298,6555,3627
E10000007,Derbyshire,Counties,CNTY,760840,332637,556100,236049,231940,119282,324160,116767,,,,2833,1463,108540,50955,74948,34960,34960,,33592,15995,15995,15995,,,,,,,,85945,39915,77629,36074,904,394,6253,2920,1159,527,3841,7422,4255
E10000008,Devon,Counties,CNTY,727737,322644,513477,226481,246093,130281,267384,96200,,,,5945,2605,79499,36042,34442,15433,15433,,45057,20609,20609,20609,,,,,,,,119971,52581,107151,47113,2710,1017,8321,3684,1789,767,5468,8845,4935
E10000009,Dorset,Counties,CNTY,403366,180213,289586,129837,143050,77407,146536,52430,,,,2861,1206,50025,22268,6741,2878,2878,,43284,19390,19390,19390,,,,,,,,55426,24057,47273,20851,3092,1063,3360,1514,1701,629,3206,5468,2845
E10000011,East Sussex,Counties,CNTY,515598,231905,362054,160557,160833,87976,201221,72581,,,,3351,1495,55534,25600,24043,10975,10975,,31491,14625,14625,14625,,,,,,,,89057,41180,82064,37899,1210,552,4903,2270,880,459,3281,5602,3073
E10000012,Essex,Counties,CNTY,1375440,581589,1002970,414702,389538,201533,613432,213169,,,,7160,3421,184365,83402,99572,45939,45939,,84793,37463,37463,37463,,,,,,,,169736,73697,153020,66541,3805,1355,9706,4474,3205,1327,7156,11209,6367
E10000013,Gloucestershire,Counties,CNTY,586018,254615,413577,176743,172342,90327,241235,86416,,,,4852,2159,72617,32853,32655,14958,14958,,39962,17895,17895,17895,,,,,,,,88169,39175,78688,35199,2678,930,4996,2325,1807,721,3976,6803,3685
E10000014,Hampshire,Counties,CNTY,1296211,545254,933191,389765,361721,188397,571470,201368,,,,11212,5154,172922,75257,57894,26078,26078,,115028,49179,49179,49179,,,,,,,,166187,68326,136245,57616,12362,3913,10229,4325,7351,2472,10710,12699,6752
E10000015,Hertfordshire,Counties,CNTY,1101351,453817,758922,303276,271824,136244,487098,167032,,,,8507,3940,187055,82543,96697,41731,41731,,90358,40812,40812,40812,,,,,,,,138027,59320,127849,54726,2510,1004,5914,2804,1754,786,4594,8840,4738
E10000016,Kent,Counties,CNTY,1435745,605638,980711,407570,386079,200638,594632,206932,,,,13165,5776,192133,84127,80994,35294,35294,,111139,48833,48833,48833,,,,,,,,234912,100182,213377,91250,4684,1767,12836,5592,4015,1573,8932,14824,7983
E10000017,Lancashire,Counties,CNTY,1143277,496299,839809,352347,348079,177209,491730,175138,,,,4880,2382,121270,60258,43692,21019,21019,,77578,39239,39239,39239,,,,,,,,166241,75042,150648,67911,1830,697,11786,5517,1977,917,7131,11077,6270
E10000018,Leicestershire,Counties,CNTY,636274,267434,494512,202431,195351,99100,299161,103331,,,,4352,2128,59308,28017,36093,16888,16888,,23215,11129,11129,11129,,,,,,,,72971,31932,66234,28915,979,390,4869,2225,889,402,3017,5131,2926
E10000019,Lincolnshire,Counties,CNTY,698748,306971,484231,210389,208807,110454,275424,99935,,,,4839,2280,89850,41768,55004,25038,25038,,34846,16730,16730,16730,,,,,,,,111381,47730,98063,42277,4635,1620,6367,2941,2316,892,5453,8447,4804
E10000020,Norfolk,Counties,CNTY,841042,372085,565979,248840,261861,138288,304118,110552,,,,4972,2204,130061,59297,59461,27322,27322,,70600,31975,31975,31975,,,,,,,,128663,55686,114366,49675,3900,1392,8173,3705,2224,914,6011,11367,6058
E10000021,Northamptonshire,Counties,CNTY,681850,287730,475230,195149,162029,83859,313201,111290,,,,5550,2688,94461,43908,51507,23996,23996,,42954,19912,19912,19912,,,,,,,,100042,42207,92286,38679,990,422,5837,2672,929,434,3528,6567,3778
E10000023,North Yorkshire,Counties,CNTY,582624,256594,413421,178684,189476,98525,223945,80159,,,,2699,1357,58468,28647,20913,10267,10267,,37555,18380,18380,18380,,,,,,,,98721,43051,81813,36786,6868,2232,5532,2523,4508,1510,6265,9315,4855
E10000024,Nottinghamshire,Counties,CNTY,774338,334303,568171,239289,231954,119231,336217,120058,,,,3162,1601,93630,45084,64632,31116,31116,,28998,13968,13968,13968,,,,,,,,101943,44036,92403,39881,1312,486,6998,3108,1230,561,4155,7432,4293
E10000025,Oxfordshire,Counties,CNTY,624099,258855,412046,169528,165138,83521,246908,86007,,,,6548,2923,85678,36833,27849,11788,11788,,57829,25045,25045,25045,,,,,,,,110836,45207,95138,39292,6853,2304,4454,1987,4391,1624,5915,8991,4364
E10000027,Somerset,Counties,CNTY,517124,226989,363386,157909,161529,85778,201857,72131,,,,3285,1487,68728,30730,30218,13421,13421,,38510,17309,17309,17309,,,,,,,,75039,33258,65872,29405,2306,801,5346,2421,1515,631,3853,6686,3605
E10000028,Staffordshire,Counties,CNTY,832952,355263,619839,256884,253527,128676,366312,128208,,,,3381,1789,111641,52151,43803,20213,20213,,67838,31938,31938,31938,,,,,,,,90431,40090,80790,35797,1629,610,6413,2890,1599,793,4293,7660,4349
E10000029,Suffolk,Counties,CNTY,714113,310745,487213,208993,211440,111081,275773,97912,,,,4419,2068,102345,46101,54204,23681,23681,,48141,22420,22420,22420,,,,,,,,110064,48488,97359,43399,4531,1534,5769,2633,2405,922,5089,10072,5095
E10000030,Surrey,Counties,CNTY,1105800,455791,816837,332184,311868,158719,504969,173465,,,,10352,4663,117513,52086,50804,22558,22558,,66709,29528,29528,29528,,,,,,,,150246,61409,135561,55472,5252,1898,6290,2861,3143,1178,5937,10852,5449
E10000031,Warwickshire,Counties,CNTY,537501,231005,386863,161804,155987,79796,230876,82008,,,,4187,1920,68437,31924,38372,18263,18263,,30065,13661,13661,13661,,,,,,,,73264,32608,66428,29628,1501,585,4145,1881,1190,514,2980,4750,2749
E10000032,West Sussex,Counties,CNTY,791540,345614,564512,244051,232615,125729,331897,118322,,,,6313,2904,98900,44144,38735,16870,16870,,60165,27274,27274,27274,,,,,,,,113017,49831,102605,45249,2501,1006,6280,2837,1631,739,4582,8798,4684
E10000034,Worcestershire,Counties,CNTY,556357,239717,405059,169788,166385,85973,238674,83815,,,,3331,1565,77475,35526,30293,13412,13412,,47182,22114,22114,22114,,,,,,,,65252,29873,59326,27165,879,380,4338,1992,709,336,2708,5240,2965
E11000001,Greater Manchester,Counties,CNTY,2639700,1128066,1670876,678367,615828,307709,1055048,370658,,,,11198,5730,513428,247540,285833,134369,134369,,227595,113171,113171,113171,,,,,,,,414886,181095,384371,167567,1771,729,23938,10537,4806,2262,13528,29312,15334
E11000002,Merseyside,Counties,CNTY,1355114,602087,866921,363775,333179,174190,533742,189585,,,,5989,3214,257695,127807,73923,34114,34114,,183772,93693,93693,93693,,,,,,,,212373,100085,197546,92644,940,414,10902,5189,2985,1838,7441,12136,7206
E11000003,South Yorkshire,Counties,CNTY,1321137,565442,851498,352304,327731,165391,523767,186913,,,,4035,2053,258384,123641,202128,97165,97165,,56256,26476,26476,26476,,,,,,,,192868,79652,175762,72654,1333,522,11803,5169,3970,1307,6998,14352,7792
E11000004,Tyne and Wear,Counties,CNTY,1086693,484527,656463,278905,236319,124372,420144,154533,,,,3787,1875,268430,133071,199223,95627,95627,,69207,37444,37444,37444,,,,,,,,149858,66053,136398,59855,900,369,9636,4699,2924,1130,6198,8155,4623
E11000005,West Midlands,Counties,CNTY,2693432,1086748,1686055,651571,674037,316855,1012018,334716,,,,16642,7645,551881,248113,370842,163676,163676,,181039,84437,84437,84437,,,,,,,,404107,162112,376083,150474,2165,884,20329,8404,5530,2350,11638,34747,17307
E11000006,West Yorkshire,Counties,CNTY,2188168,922452,1458284,580650,552146,265878,906138,314772,,,,8858,4266,356840,173038,243136,115626,115626,,113704,57412,57412,57412,,,,,,,,338966,151029,311643,138754,1871,803,21133,9567,4319,1905,12275,25220,13469
E13000001,Inner London,Counties,CNTY,3181235,1363817,1050671,456470,396316,192213,654355,264257,,,,40589,20619,1044633,446815,609410,255923,255923,,435223,190892,190892,190892,,,,,,,,1000601,419073,951762,397726,6138,2591,30577,13354,12124,5402,21347,44741,20840
E13000002,Outer London,Counties,CNTY,4892465,1902356,2889124,1119737,1041487,497685,1847637,622052,,,,48111,21489,817748,339178,441407,183804,183804,,376341,155374,155374,155374,,,,,,,,1088858,400012,1032195,377865,7890,2819,36136,14583,12637,4745,22147,48624,21940
95AA,Antrim,Local Authorities,LA,52540,20064,39880,,14261,6211,25334,8032,14372,6211,8032,285,129,4771,2385,4315,2147,2147,238,456,,238,238,,,,2147,238,529,2288,7045,2817,5565,2288,717,222,469,205,294,102,529,844,490
95BB,Ards,Local Authorities,LA,77483,31514,60143,,23268,10957,36309,12107,23303,10957,12107,566,239,8265,4094,7118,3436,3436,658,1147,,658,658,,,,3436,658,370,3006,7775,3376,7009,3006,76,26,607,300,83,44,370,1300,741
95CC,Armagh,Local Authorities,LA,58638,21594,45904,,20388,8380,25373,7487,15928,8380,7487,143,61,4005,2029,3361,1718,1718,311,644,,311,311,,,,1718,311,337,2692,7617,3029,6813,2692,82,25,586,258,136,54,337,1112,608
95DD,Ballymena,Local Authorities,LA,63403,24817,48075,,22054,9550,25719,8172,17844,9550,8172,302,122,5557,2778,4952,2376,2376,402,605,,402,402,,,,2376,402,334,3155,8512,3489,7815,3155,53,21,541,265,103,48,334,1259,706
95EE,Ballymoney,Local Authorities,LA,31054,11508,23393,,10137,4087,13078,3967,8120,4087,3967,178,66,3030,1437,2880,1329,1329,108,150,,108,108,,,,1329,108,172,1449,4052,1621,3681,1449,1,1,334,152,36,19,172,579,330
95FF,Banbridge,Local Authorities,LA,48045,18303,38058,,14808,6216,23062,7250,13545,6216,7250,188,79,3462,1806,2916,1524,1524,282,546,,282,282,,,,1524,282,239,2153,5526,2392,5009,2153,48,15,414,198,55,26,239,999,560
95GG,Belfast,Local Authorities,LA,276141,120595,152027,,55026,27904,95352,34397,63019,27904,34397,1649,718,65488,30818,44637,20794,20794,10024,20851,,10024,10024,,,,20794,10024,1778,21854,53344,23632,49622,21854,237,100,2610,1242,875,436,1778,5282,3126
95HH,Carrickfergus,Local Authorities,LA,38785,16200,29969,,9732,4804,19944,6824,11747,4804,6824,293,119,4010,2214,3331,1758,1758,456,679,,456,456,,,,1758,456,187,1736,4312,1923,3938,1736,28,12,319,158,27,17,187,494,316
95II,Castlereagh,Local Authorities,LA,66502,27733,52363,,18547,9356,33341,11339,20896,9356,11339,475,201,7334,3882,6371,3308,3308,574,963,,574,574,,,,3308,574,291,2145,5933,2436,5357,2145,72,31,453,232,51,28,291,872,519
95JJ,Coleraine,Local Authorities,LA,57761,23508,40116,,18474,8477,21294,6949,15585,8477,6949,348,159,6627,3235,5839,2769,2769,466,788,,466,466,,,,2769,466,405,3622,9832,4027,8985,3622,91,31,667,329,89,45,405,1186,661
95KK,Cookstown,Local Authorities,LA,36711,12904,28715,,13187,5081,15350,4325,9476,5081,4325,178,70,2200,1052,1971,930,930,122,229,,122,122,,,,930,122,207,1825,5159,2032,4669,1825,31,11,425,178,34,18,207,637,344
95LL,Craigavon,Local Authorities,LA,92513,35931,65735,,23489,10523,41558,13134,23929,10523,13134,688,272,9465,4710,7757,3750,3750,960,1708,,960,960,,,,3750,960,491,5977,15926,6468,14920,5977,113,36,762,378,131,77,491,1387,824
95MM,Derry,Local Authorities,LA,106500,40779,67455,,23194,9840,43704,13534,23600,9840,13534,557,226,21450,9271,15678,6766,6766,2505,5772,,2505,2505,,,,6766,2505,634,6346,15839,6980,14356,6346,60,22,1035,472,388,140,634,1756,928
95NN,Down,Local Authorities,LA,68714,26206,52207,,21041,9166,30822,9409,18706,9166,9409,344,131,5502,2575,4509,2134,2134,441,993,,441,441,,,,2134,441,543,3709,9869,4252,8593,3709,201,66,809,389,266,88,543,1136,673
95OO,Dungannon,Local Authorities,LA,57462,20270,41857,,18856,7460,22787,6489,14028,7460,6489,214,79,4535,2083,3605,1662,1662,421,930,,421,421,,,,1662,421,376,3184,9944,3560,9034,3184,132,41,618,272,160,63,376,1126,599
95PP,Fermanagh,Local Authorities,LA,61064,23069,47282,,24060,9847,23076,6866,16782,9847,6866,146,69,4376,2170,3531,1752,1752,418,845,,418,418,,,,1752,418,375,2986,8105,3361,7249,2986,90,27,655,302,111,46,375,1301,756
95QQ,Larne,Local Authorities,LA,31914,13297,24589,,10180,4771,14246,4793,9641,4771,4793,163,77,2588,1424,2231,1184,1184,240,357,,240,240,,,,1184,240,189,1738,4205,1927,3824,1738,7,5,335,157,39,27,189,532,305
95RR,Limavady,Local Authorities,LA,32850,12098,24394,,9929,4025,14311,4305,8392,4025,4305,154,62,3297,1557,2786,1308,1308,249,511,,249,249,,,,1308,249,212,1641,4587,1853,4081,1641,40,15,427,178,39,19,212,572,296
95SS,Lisburn,Local Authorities,LA,118525,45723,88206,,30191,13718,57162,18604,32686,13718,18604,853,364,17811,7699,13094,5764,5764,1935,4717,,1935,1935,,,,5764,1935,704,3641,10669,4345,8819,3641,877,272,601,290,372,142,704,1839,993
95TT,Magherafelt,Local Authorities,LA,44822,15037,35395,,16350,5987,18889,5064,11106,5987,5064,156,55,2870,1278,2633,1133,1133,145,237,,145,145,,,,1133,145,233,1938,5666,2171,5131,1938,67,22,419,186,49,25,233,891,482
95UU,Moyle,Local Authorities,LA,16907,6608,12260,,6345,2679,5860,1774,4477,2679,1774,55,24,1882,890,1691,762,762,128,191,,128,128,,,,762,128,127,915,2414,1042,2166,915,19,7,219,114,10,6,127,351,199
95VV,Newry and Mourne,Local Authorities,LA,98922,35031,74184,,30722,12219,43128,12217,24571,12219,12217,334,135,8005,3590,6261,2850,2850,740,1744,,740,740,,,,2850,740,613,5342,15009,5955,13616,5342,108,31,1054,489,231,93,613,1724,915
95WW,Newtownabbey,Local Authorities,LA,83141,33971,65065,,21669,10512,42716,14442,25252,10512,14442,680,298,8373,4481,7293,3815,3815,666,1080,,666,666,,,,3815,666,325,3291,8690,3616,7981,3291,46,15,545,258,118,52,325,1013,622
95XX,North Down,Local Authorities,LA,77475,33255,60774,,22908,11693,37045,13056,25131,11693,13056,821,382,6131,3276,4727,2395,2395,881,1404,,881,881,,,,2395,881,563,3748,9690,4311,8322,3748,424,136,613,302,331,125,563,880,537
95YY,Omagh,Local Authorities,LA,50872,18443,38708,,18692,7273,19893,5612,12941,7273,5612,123,56,3665,1813,3213,1572,1572,241,452,,241,241,,,,1572,241,331,2785,7519,3116,6799,2785,53,18,594,277,73,36,331,980,573
95ZZ,Strabane,Local Authorities,LA,39595,14817,28359,,12807,5109,15424,4514,9674,5109,4514,128,51,5013,2338,4181,1954,1954,384,832,,384,384,,,,1954,384,236,2049,5270,2285,4749,2049,29,8,437,203,55,25,236,953,520
E06000001,Hartlepool,Local Authorities,LA,91091,40434,57843,24194,20957,11090,36886,13104,,,,364,200,18836,9515,8733,4016,4016,,10103,5499,5499,5499,,,,,,,,13114,5971,12230,5525,63,26,691,349,130,71,446,934,554
E06000002,Middlesbrough,Local Authorities,LA,136156,57203,81159,32723,29963,15200,51196,17523,,,,692,336,28899,13654,14027,6049,6049,,14872,7605,7605,7605,,,,,,,,23368,9509,21362,8648,194,98,1336,570,476,193,861,2038,981
E06000003,Redcar and Cleveland,Local Authorities,LA,133929,59605,92584,39705,37523,19806,55061,19899,,,,556,256,23226,11568,12817,5999,5999,,10409,5569,5569,5569,,,,,,,,16493,7434,14931,6698,120,55,1241,578,201,103,736,1070,642
E06000004,Stockton-on-Tees,Local Authorities,LA,187959,79159,133554,54225,45253,23285,88301,30940,,,,515,255,27546,13625,15785,7285,7285,,11761,6340,6340,6340,,,,,,,,24978,10387,22700,9417,102,41,1892,788,284,141,970,1366,667
E06000005,Darlington,Local Authorities,LA,104111,46670,70435,30289,25891,13810,44544,16479,,,,336,178,13989,7228,10305,5238,5238,,3684,1990,1990,1990,,,,,,,,18531,8513,16736,7758,331,112,1218,546,246,97,755,820,462
E06000006,Halton,Local Authorities,LA,124874,53312,82112,33796,28000,14436,54112,19360,,,,701,322,29476,13441,5510,2502,2502,,23966,10939,10939,10939,,,,,,,,11683,5212,10649,4752,37,14,840,376,157,70,460,902,541
E06000007,Warrington,Local Authorities,LA,198828,85140,147644,60915,52702,27206,94942,33709,,,,1221,637,27723,13318,13216,6147,6147,,14507,7171,7171,7171,,,,,,,,21032,9549,19200,8683,125,52,1506,718,201,96,866,1208,721
E06000008,Blackburn with Darwen,Local Authorities,LA,145827,57353,99689,36793,43611,18039,56078,18754,,,,726,290,22791,10391,7601,3228,3228,,15190,7163,7163,7163,,,,,,,,20716,8993,18713,8113,140,72,1461,618,402,190,880,1905,886
E06000009,Blackpool,Local Authorities,LA,137960,64367,88222,39650,34394,19318,53828,20332,,,,493,239,12689,6999,8282,4823,4823,,4407,2176,2176,2176,,,,,,,,35456,16770,32872,15549,140,62,2253,1062,191,97,1221,1100,709
E06000010,Kingston upon Hull; City of,Local Authorities,LA,252748,112596,132208,55785,42407,22355,89801,33430,,,,993,505,65842,31634,51846,23838,23838,,13996,7796,7796,7796,,,,,,,,51021,22984,47575,21414,153,63,2452,1125,841,382,1570,2684,1688
E06000011,East Riding of Yorkshire,Local Authorities,LA,326951,143032,252686,107706,107871,56140,144815,51566,,,,854,433,26376,13028,21201,10453,10453,,5175,2575,2575,2575,,,,,,,,43253,19648,39022,17760,766,298,2878,1336,587,254,1888,3782,2217
E06000012,North East Lincolnshire,Local Authorities,LA,157786,69707,107474,46070,40095,21497,67379,24573,,,,449,213,19390,10091,7214,3293,3293,,12176,6798,6798,6798,,,,,,,,29277,12627,27034,11594,253,106,1728,792,262,135,1033,1196,706
E06000013,North Lincolnshire,Local Authorities,LA,165871,70684,117306,49137,45145,23355,72161,25782,,,,377,179,23254,10895,11290,4852,4852,,11964,6043,6043,6043,,,,,,,,23132,9477,20815,8493,446,169,1596,692,275,123,984,1802,996
E06000014,York,Local Authorities,LA,190392,83552,125534,55227,52872,28351,72662,26876,,,,1274,631,24904,11679,15879,7381,7381,,9025,4298,4298,4298,,,,,,,,36844,14980,33682,13687,736,245,1700,753,726,295,1293,1836,1035
E06000015,Derby,Local Authorities,LA,244625,102271,155473,62765,60722,30239,94751,32526,,,,1703,864,44442,20250,28748,12458,12458,,15694,7792,7792,7792,,,,,,,,40726,17193,37828,15943,191,75,2306,982,401,193,1250,2281,1199
E06000016,Leicester,Local Authorities,LA,321527,123125,166411,61170,65138,28018,101273,33152,,,,1758,774,75317,31270,50896,21048,21048,,24421,10222,10222,10222,,,,,,,,74108,27999,69583,26207,565,198,2867,1173,1093,421,1792,3933,1912
E06000017,Rutland,Local Authorities,LA,34252,15002,24575,10556,11320,5889,13255,4667,,,,305,160,3530,1685,871,369,369,,2659,1316,1316,1316,,,,,,,,5338,2333,3763,1741,868,301,251,122,456,169,592,504,268
E06000018,Nottingham,Local Authorities,LA,289738,126131,134096,56867,48418,25152,85678,31715,,,,1545,786,76800,37486,55807,26176,26176,,20993,11310,11310,11310,,,,,,,,73831,29098,69797,27300,303,136,3046,1303,685,359,1798,3466,1894
E06000019,Herefordshire; County of,Local Authorities,LA,180595,78319,122830,53014,60000,30867,62830,22147,,,,1886,770,24937,10903,6400,2692,2692,,18537,8211,8211,8211,,,,,,,,27948,12147,24372,10680,1259,468,1665,738,652,261,1467,2994,1485
E06000020,Telford and Wrekin,Local Authorities,LA,164440,66608,105269,42417,35732,18106,69537,24311,,,,687,292,29490,13106,12291,5409,5409,,17199,7697,7697,7697,,,,,,,,27496,9979,25061,9055,488,164,1521,602,426,158,924,1498,814
E06000021,Stoke-on-Trent,Local Authorities,LA,246075,107575,152049,63928,59730,30628,92319,33300,,,,867,419,54494,25999,43017,19712,19712,,11477,6287,6287,6287,,,,,,,,35475,15440,32764,14176,218,84,2044,938,449,242,1264,3190,1789
E06000022,Bath and North East Somerset,Local Authorities,LA,169977,73515,116095,49068,49578,25827,66517,23241,,,,800,368,21661,10614,5613,2528,2528,,16048,8086,8086,8086,,,,,,,,29636,12447,27308,11408,307,128,1657,735,364,176,1039,1785,1018
E06000023,Bristol; City of,Local Authorities,LA,418814,182747,229684,98708,85334,44928,144350,53780,,,,2786,1385,82201,37083,61064,26494,26494,,21137,10589,10589,10589,,,,,,,,99419,43028,93466,40401,556,232,4490,1984,907,411,2627,4724,2543
E06000024,North Somerset,Local Authorities,LA,199225,88227,150010,64365,60258,32474,89752,31891,,,,1223,542,16167,8103,6421,3104,3104,,9746,4999,4999,4999,,,,,,,,30249,14270,27655,13058,308,129,2034,958,252,125,1212,1576,947
E06000025,South Gloucestershire,Local Authorities,LA,258207,107538,198252,80586,72305,37050,125947,43536,,,,1108,497,23852,10633,4491,2063,2063,,19361,8570,8570,8570,,,,,,,,32932,14600,29576,13124,624,233,2272,1039,460,204,1476,2063,1222
